Layer,Kriterium,Region,Anbieter,Score,Begründung,Quellen
Southbound Connectivity (Field Capture),K5: Massive Cloud-Ingestion,DE,Open Telekom Cloud (OTC),3.0,"OTC bietet DMS (Distributed Message Service) basierend auf Kafka und RabbitMQ managed. HTTP/S-Endpunkte für Ingestion verfügbar. Kein dedizierter MQTT-Managed-Endpoint, aber guter Stack.",OTC DMS Docs (docs.otc.t-systems.com/distributed-message-service/)
Southbound Connectivity (Field Capture),K6: Low-Power/IoT-Integration,USA,AWS,4.0,"AWS IoT Core for LoRaWAN ist ein vollständig verwalteter LoRaWAN Network Server (LNS). Unterstützt FUOTA (Firmware-Updates over the air) und CUPS-Protokoll. Kein EOL gefunden (Stand März 2026) — Service aktiv verfügbar. LWM2M nicht nativ, aber LoRaWAN als Kernprodukt rechtfertigt Score 4.",AWS IoT Core for LoRaWAN Docs (docs.aws.amazon.com/iot-wireless/latest/developerguide/iot-lorawan.html); AWS IoT Core for LoRaWAN Produktseite (aws.amazon.com/iot-core/lorawan/) — kein EOL/Discontinuation-Hinweis gefunden
Southbound Connectivity (Field Capture),K6: Low-Power/IoT-Integration,USA,Azure,3.0,"Azure bietet LoRaWAN über Open-Source IoT Edge Starter Kit (GitHub, nicht First-Party-Produkt). LWM2M nicht nativ unterstützt. Score 3 (Referenzarchitektur/Community, kein Kernprodukt).",Azure IoT Edge LoRaWAN Starter Kit (github.com/Azure/iotedge-lorawan-starterkit)
Southbound Connectivity (Field Capture),K6: Low-Power/IoT-Integration,USA,Google Cloud,1.0,Nach IoT Core Sunset kein nativer Low-Power-Support. LoRaWAN/LWM2M nur über Drittanbieter-Partner.,Google Cloud IoT Core Retirement Notice; ClearBlade als Nachfolger ohne nativen LoRaWAN-Endpoint
Southbound Connectivity (Field Capture),K6: Low-Power/IoT-Integration,DE,Stackable,0.0,Stackable hat keinerlei IoT- oder Low-Power-Protokoll-Unterstützung. Score 0 (nicht anwendbar).,Stackable Dokumentation (docs.stackable.tech) — kein IoT/LoRaWAN/LWM2M-Produkt
Southbound Connectivity (Field Capture),K6: Low-Power/IoT-Integration,DE,IONOS,0.0,"IONOS bietet keinen IoT-spezifischen Service. Kein LoRaWAN, kein LWM2M. Score 0.",IONOS Cloud Produktübersicht (docs.ionos.com/cloud)
Southbound Connectivity (Field Capture),K6: Low-Power/IoT-Integration,DE,Open Telekom Cloud (OTC),3.0,"Cumulocity IoT unterstützt LWM2M 1.1 über CoAP nativ (kein Eigenbau). LoRaWAN via Cumulocity LoRa-Connector ebenfalls verfügbar. Score 3 (guter DIY-Stack / Marketplace, nicht AWS-Niveau).",Cumulocity LWM2M Support: 'LWM2M 1.1 over CoAP and UDP' (cumulocity.com/guides/protocol-integration/lwm2m/)
Southbound Connectivity (Field Capture),GESAMT (Layer-Durchschnitt),USA,AWS,4.33,"Summe: 13 (K4:4 + K5:5 + K6:4), Durchschnitt: 4.33 über 3 Kriterien",Aggregiert aus Einzelbewertungen
Southbound Connectivity (Field Capture),GESAMT (Layer-Durchschnitt),USA,Azure,4.0,"Summe: 12 (K4:4 + K5:5 + K6:3), Durchschnitt: 4.0 über 3 Kriterien",Aggregiert aus Einzelbewertungen
Southbound Connectivity (Field Capture),GESAMT (Layer-Durchschnitt),USA,Google Cloud,1.67,"Summe: 5 (K4:1 + K5:3 + K6:1), Durchschnitt: 1.67 über 3 Kriterien",Aggregiert aus Einzelbewertungen
Southbound Connectivity (Field Capture),GESAMT (Layer-Durchschnitt),DE,Stackable,1.0,"Summe: 3 (K4:1 + K5:2 + K6:0), Durchschnitt: 1.0 über 3 Kriterien",Aggregiert aus Einzelbewertungen
Southbound Connectivity (Field Capture),GESAMT (Layer-Durchschnitt),DE,IONOS,0.67,"Summe: 2 (K4:0 + K5:2 + K6:0), Durchschnitt: 0.67 über 3 Kriterien",Aggregiert aus Einzelbewertungen
Southbound Connectivity (Field Capture),GESAMT (Layer-Durchschnitt),DE,Open Telekom Cloud (OTC),3.0,"Summe: 9 (K4:3 + K5:3 + K6:3), Durchschnitt: 3.0 über 3 Kriterien",Aggregiert aus Einzelbewertungen
